check_name,desc,pass,detail
oligo_lengths,All oligos within synthesis length limit,TRUE,Range: 155-284 nt (limit: 300)
block_lengths,All gene blocks within synthesis length limit,TRUE,Range: 117-1792 nt (limit: 1800)
barcode_junction_sites,No enzyme sites at barcode-context junctions,TRUE,"0 barcode(s) with junction enzyme sites (left='CACACC', right='AGAATG')"
barcode_uniqueness,All barcodes are unique,TRUE,398580 unique / 398580 total
tile_coverage,Tiles cover entire gene without gaps,TRUE,5706 / 5706 nt covered
variant_count,Expected number of variants generated,TRUE,39858 unique variants (expected: 39858 across 1898/1900 mutable positions; 36062 missense + 1898 nonsense + 1898 wt_control; 2 position(s) skipped)
single_codon_change,Each non-control variant differs by exactly one codon from WT,TRUE,379600 / 379600 variants confirmed (WT controls excluded)
oligo_gc_content,Oligo GC content within reasonable range (25-75%),TRUE,GC range: 33.5-55.8% | 0 oligo(s) with extreme GC
domestication_complete,"Gene domesticated for all 3 enzymes (BsaI, BsmBI, PaqCI)",TRUE,No enzyme sites in gene
overhang_fidelity,Tile boundary overhangs have adequate fidelity,FALSE,26 tile(s) with low-fidelity boundary overhangs (<0.80)
tile_manifests,Per-tile assembly manifests complete,TRUE,37 tile manifest(s) generated
helper_plasmid,Helper plasmid free of unintended BsmBI sites,TRUE,OK
reaction_fidelity,Per-reaction set-level overhang fidelity,TRUE,Min set fidelity: 0.9146 across 74 reactions | 0 reaction(s) below 0.90
barcode_poliii_term,No barcodes contain PolIII terminator signal (TTTT),TRUE,0 / 398580 barcode(s) contain TTTT
block_min_length,All gene blocks above synthesis minimum length,FALSE,5 block(s) below 300 nt minimum. Range: 117-1792 nt
