tile_id,bsai_parts,bsmbi_parts
1,,bsmbi_3wt_tile1_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
2,bsai_5wt_tile2,bsmbi_3wt_tile2_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
3,bsai_5wt_tile3,bsmbi_3wt_tile3_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
4,bsai_5wt_tile4,bsmbi_3wt_tile4_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
5,bsai_5wt_tile5,bsmbi_3wt_tile5_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
6,bsai_5wt_tile6,bsmbi_3wt_tile6_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
7,bsai_5wt_tile7,bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
8,bsai_5wt_tile8,bsmbi_3wt_tile8_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
9,bsai_5wt_tile9_sub1,bsmbi_3wt_tile9_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
10,bsai_5wt_tile10_sub1;bsai_5wt_tile10_sub2,bsmbi_3wt_tile10_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
11,bsai_5wt_tile10_sub1;bsai_5wt_tile11_sub2,bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
12,bsai_5wt_tile10_sub1;bsai_5wt_tile12_sub2,bsmbi_3wt_tile12_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
13,bsai_5wt_tile10_sub1;bsai_5wt_tile13_sub2,bsmbi_3wt_tile13_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
14,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile14_sub3,bsmbi_3wt_tile14_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
15,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile15_sub3,bsmbi_3wt_tile15_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
16,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile16_sub3,bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
17,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile17_sub3,bsmbi_3wt_tile17_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
18,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile18_sub3,bsmbi_3wt_tile18_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
19,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile19_sub3;bsai_5wt_tile19_sub4,bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6
20,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile19_sub3;bsai_5wt_tile20_sub4,bsmbi_3wt_tile20_sub1;bsmbi_3wt_tile1_sub6
21,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile19_sub3;bsai_5wt_tile21_sub4,bsmbi_3wt_tile21_sub1;bsmbi_3wt_tile1_sub6
22,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile19_sub3;bsai_5wt_tile22_sub4;bsai_5wt_tile22_sub5,bsmbi_3wt_tile22_sub1;bsmbi_3wt_tile1_sub6
23,bsai_5wt_tile10_sub1;bsai_5wt_tile14_sub2;bsai_5wt_tile19_sub3;bsai_5wt_tile22_sub4;bsai_5wt_tile23_sub5,bsmbi_3wt_tile23_sub1;bsmbi_3wt_tile1_sub6
