tile_id,bsai_parts,bsmbi_parts
1,,bsmbi_3wt_tile1_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
2,bsai_5wt_tile2,bsmbi_3wt_tile2_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
3,bsai_5wt_tile3,bsmbi_3wt_tile3_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
4,bsai_5wt_tile4,bsmbi_3wt_tile4_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
5,bsai_5wt_tile5,bsmbi_3wt_tile5_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
6,bsai_5wt_tile6,bsmbi_3wt_tile6_sub1;bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
7,bsai_5wt_tile7,bsmbi_3wt_tile7_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
8,bsai_5wt_tile8,bsmbi_3wt_tile1_sub2;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
9,bsai_5wt_tile9,bsmbi_3wt_tile9_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
10,bsai_5wt_tile10_sub1,bsmbi_3wt_tile10_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
11,bsai_5wt_tile11_sub1;bsai_5wt_tile11_sub2,bsmbi_3wt_tile11_sub1;bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
12,bsai_5wt_tile11_sub1;bsai_5wt_tile12_sub2,bsmbi_3wt_tile12_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
13,bsai_5wt_tile11_sub1;bsai_5wt_tile13_sub2,bsmbi_3wt_tile1_sub3;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
14,bsai_5wt_tile11_sub1;bsai_5wt_tile14_sub2,bsmbi_3wt_tile14_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
15,bsai_5wt_tile11_sub1;bsai_5wt_tile15_sub2,bsmbi_3wt_tile15_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
16,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile16_sub3,bsmbi_3wt_tile16_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
17,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile17_sub3,bsmbi_3wt_tile17_sub1;bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
18,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile18_sub3,bsmbi_3wt_tile18_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
19,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile19_sub3,bsmbi_3wt_tile1_sub4;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
20,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile20_sub3,bsmbi_3wt_tile20_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
21,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile21_sub3,bsmbi_3wt_tile21_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
22,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile22_sub4,bsmbi_3wt_tile22_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
